arrival_ts,sequence,product,num_changes,arrival_dt,latency_ms,rolling_mean_ms,rolling_std_ms,z_score,is_spike,phase
1775324075.044329,3,BTC-USD,10,2026-04-04 17:34:35.044328928+00:00,529.310941696167,,,,False,before
1775324075.044794,4,BTC-USD,5,2026-04-04 17:34:35.044794083+00:00,0.46515464782714844,,,,False,before
1775324075.044937,5,BTC-USD,3,2026-04-04 17:34:35.044936895+00:00,0.14281272888183594,,,,False,before
1775324075.045054,6,BTC-USD,7,2026-04-04 17:34:35.045053959+00:00,0.11706352233886719,,,,False,before
1775324075.045163,7,BTC-USD,7,2026-04-04 17:34:35.045162916+00:00,0.10895729064941406,,,,False,before
1775324075.045275,8,BTC-USD,3,2026-04-04 17:34:35.045274973+00:00,0.11205673217773438,,,,False,before
1775324075.0453749,9,BTC-USD,4,2026-04-04 17:34:35.045374870+00:00,0.09989738464355469,,,,False,before
1775324075.045473,10,BTC-USD,1,2026-04-04 17:34:35.045473099+00:00,0.09822845458984375,,,,False,before
1775324075.045569,11,BTC-USD,17,2026-04-04 17:34:35.045568943+00:00,0.09584426879882812,,,,False,before
1775324075.045678,12,BTC-USD,1,2026-04-04 17:34:35.045677900+00:00,0.10895729064941406,53.06599140167236,167.33545621083147,-0.3164722845366414,False,before
1775324075.045772,13,BTC-USD,4,2026-04-04 17:34:35.045772076+00:00,0.09417533874511719,48.25037175958807,159.54977760143663,-0.301825531472313,False,before
1775324075.045867,14,BTC-USD,4,2026-04-04 17:34:35.045866966+00:00,0.09489059448242188,44.23741499582926,152.75857953262192,-0.2889691992188243,False,before
1775324075.045962,15,BTC-USD,3,2026-04-04 17:34:35.045962095+00:00,0.09512901306152344,40.84185453561636,146.76672915433585,-0.27762917220637046,False,before
1775324075.04607,16,BTC-USD,2,2026-04-04 17:34:35.046070099+00:00,0.10800361633300781,37.93229375566755,141.42853657089628,-0.2674445416492995,False,before
1775324075.0461628,17,BTC-USD,4,2026-04-04 17:34:35.046162844+00:00,0.09274482727050781,35.40965716044108,136.63370700731218,-0.2584787685756087,False,before
1775324075.0462809,18,BTC-USD,11,2026-04-04 17:34:35.046280861+00:00,0.11801719665527344,33.20392966270447,132.29523412390074,-0.25009149184514595,False,before
1775324075.04652,19,BTC-USD,3,2026-04-04 17:34:35.046519995+00:00,0.2391338348388672,31.264824025771198,128.34357943646526,-0.24173932445363328,False,before
1775324075.046662,20,BTC-USD,1,2026-04-04 17:34:35.046662092+00:00,0.14209747314453125,29.53578366173638,124.72746802968875,-0.23566329576733894,False,before
1775324075.047389,21,BTC-USD,2,2026-04-04 17:34:35.047389030+00:00,0.7269382476806641,28.019528639943974,121.39336193553432,-0.2248277002720872,False,before
1775324075.047499,22,BTC-USD,16,2026-04-04 17:34:35.047498941+00:00,0.10991096496582031,26.62404775619507,118.32032107733619,-0.22408776911532513,False,before
1775324075.047611,23,BTC-USD,6,2026-04-04 17:34:35.047610998+00:00,0.11205673217773438,25.361571993146622,115.46940809993663,-0.21866843934209745,False,before
1775324075.047712,24,BTC-USD,2,2026-04-04 17:34:35.047712088+00:00,0.1010894775390625,24.213368242437188,112.815224389506,-0.21373248952329377,False,before
1775324075.047807,25,BTC-USD,7,2026-04-04 17:34:35.047806978+00:00,0.09489059448242188,23.164738779482633,110.33609430712929,-0.20908704744236692,False,before
1775324075.0479062,26,BTC-USD,7,2026-04-04 17:34:35.047906160+00:00,0.09918212890625,22.20367391904195,108.01349230547152,-0.20464565415237462,False,before
1775324075.0480042,27,BTC-USD,4,2026-04-04 17:34:35.048004150+00:00,0.09799003601074219,21.319446563720703,105.83165656875676,-0.2005208764158652,False,before
1775324075.048106,28,BTC-USD,3,2026-04-04 17:34:35.048105955+00:00,0.10180473327636719,20.50338341639592,103.77688030758463,-0.19659078807005229,False,before
1775324075.0498729,29,BTC-USD,6,2026-04-04 17:34:35.049872875+00:00,1.7669200897216797,19.809440330222802,101.8254681717269,-0.1771906436027647,False,before
1775324075.0642262,30,BTC-USD,10,2026-04-04 17:34:35.064226150+00:00,14.353275299072266,19.614577293395996,99.92734058640647,-0.05265127605166595,False,before
1775324075.109927,31,BTC-USD,3,2026-04-04 17:34:35.109926939+00:00,45.700788497924805,20.514101817690094,98.24619348104504,0.25636297741239267,False,before
1775324075.160828,32,BTC-USD,4,2026-04-04 17:34:35.160828114+00:00,50.901174545288086,21.52700424194336,96.69671783962738,0.3037762910635925,False,before
1775324075.215056,33,BTC-USD,5,2026-04-04 17:34:35.215055943+00:00,54.22782897949219,22.58186955605784,95.25269041878312,0.3322316596444818,False,before
1775324075.264194,34,BTC-USD,2,2026-04-04 17:34:35.264194011+00:00,49.13806915283203,23.41175079345703,93.82128587935713,0.27420556133131607,False,before
1775324075.312452,35,BTC-USD,10,2026-04-04 17:34:35.312452078+00:00,48.258066177368164,24.16466944145434,92.44492893401929,0.26062431994631097,False,before
1775324075.364455,36,BTC-USD,7,2026-04-04 17:34:35.364454985+00:00,52.002906799316406,24.98344112845028,91.15857821938584,0.2964006920537967,False,before
1775324075.412706,37,BTC-USD,10,2026-04-04 17:34:35.412705898+00:00,48.25091361999512,25.648226056780135,89.89408114544457,0.2514368829983906,False,before
1775324075.462132,38,BTC-USD,3,2026-04-04 17:34:35.462131977+00:00,49.42607879638672,26.30872196621365,88.68915848639725,0.26065594966400213,False,before
1775324075.513694,39,BTC-USD,3,2026-04-04 17:34:35.513694047+00:00,51.56207084655762,26.991244908925648,87.54718327780078,0.2806580979272049,False,before
1775324075.564639,40,BTC-USD,12,2026-04-04 17:34:35.564639091+00:00,50.94504356384277,27.621608031423467,86.44339183070022,0.26981166562851167,False,before
1775324075.614941,41,BTC-USD,4,2026-04-04 17:34:35.614940882+00:00,50.30179023742676,28.203151164910732,85.3756745885224,0.2588399936987073,False,before
1775324075.6637938,42,BTC-USD,1,2026-04-04 17:34:35.663793802+00:00,48.85292053222656,28.719395399093628,84.33723110767569,0.238726418554433,False,before
1775324075.7158022,43,BTC-USD,6,2026-04-04 17:34:35.715802193+00:00,52.00839042663574,29.28741966805807,83.3557319655475,0.27257838450712274,False,before
1775324075.763826,44,BTC-USD,8,2026-04-04 17:34:35.763825893+00:00,48.02370071411133,29.733521597726003,82.38366698131183,0.22201219958483184,False,before
1775324075.862863,45,BTC-USD,3,2026-04-04 17:34:35.862863064+00:00,99.03717041015625,31.345234360805776,82.08026126620457,0.8247041981239612,False,before
1775324075.9125671,46,BTC-USD,8,2026-04-04 17:34:35.912567139+00:00,49.70407485961914,31.76248073577881,81.16742630886365,0.22104426541218386,False,before
1775324075.95856,47,BTC-USD,1,2026-04-04 17:34:35.958559990+00:00,45.99285125732422,32.07871119181315,80.26780465100276,0.1733464634545383,False,before
1775324076.011701,48,BTC-USD,10,2026-04-04 17:34:36.011701107+00:00,53.141117095947266,32.53658958103346,79.43165913966683,0.2593994351633057,False,before
1775324076.895353,49,BTC-USD,3,2026-04-04 17:34:36.895353079+00:00,883.6519718170166,50.645427500947996,146.91813490085116,5.669868766563294,True,before
1775324076.895725,50,BTC-USD,1,2026-04-04 17:34:36.895725012+00:00,0.3719329833984375,49.598063031832375,145.5277946885841,-0.3382593005945927,False,before
1775324076.895912,51,BTC-USD,7,2026-04-04 17:34:36.895911932+00:00,0.186920166015625,48.58967236110142,144.17679898660708,-0.335718038791956,False,before
1775324076.897576,52,BTC-USD,10,2026-04-04 17:34:36.897576094+00:00,1.6641616821289062,47.65116214752197,142.85225227704558,-0.3219200238873836,False,before
1775324076.897791,53,BTC-USD,5,2026-04-04 17:34:36.897790909+00:00,0.2148151397705078,37.06923961639404,124.91521554111353,-0.29503551122235855,False,before
1775324076.899044,54,BTC-USD,3,2026-04-04 17:34:36.899044037+00:00,1.2531280517578125,37.084999084472656,124.91055289511823,-0.2868602388046529,False,before
1775324076.899261,55,BTC-USD,9,2026-04-04 17:34:36.899260998+00:00,0.21696090698242188,37.08648204803467,124.91010579857993,-0.29516844057841957,False,before
1775324076.900956,56,BTC-USD,5,2026-04-04 17:34:36.900955915+00:00,1.6949176788330078,37.11803913116455,124.9007742602679,-0.2836101029967752,False,before
1775324076.901729,57,BTC-USD,3,2026-04-04 17:34:36.901729107+00:00,0.7731914520263672,37.13132381439209,124.8967928314812,-0.2911054122216129,False,before
1775324076.9029288,58,BTC-USD,3,2026-04-04 17:34:36.902928829+00:00,1.1997222900390625,37.153077125549316,124.89030814118283,-0.2878794629513334,False,before
1775324076.903423,59,BTC-USD,7,2026-04-04 17:34:36.903423071+00:00,0.49424171447753906,37.160964012145996,124.88793288932146,-0.2935969989203308,False,before
1775324076.904562,60,BTC-USD,7,2026-04-04 17:34:36.904561996+00:00,1.138925552368164,37.18177795410156,124.8817164861471,-0.288615927262111,False,before
