arrival_ts,sequence,product,num_changes
1775324074.515018,1,BTC-USD,9
1775324075.044329,3,BTC-USD,10
1775324075.044794,4,BTC-USD,5
1775324075.044937,5,BTC-USD,3
1775324075.045054,6,BTC-USD,7
1775324075.045163,7,BTC-USD,7
1775324075.045275,8,BTC-USD,3
1775324075.0453749,9,BTC-USD,4
1775324075.045473,10,BTC-USD,1
1775324075.045569,11,BTC-USD,17
1775324075.0456781,12,BTC-USD,1
1775324075.045772,13,BTC-USD,4
1775324075.045867,14,BTC-USD,4
1775324075.045962,15,BTC-USD,3
1775324075.04607,16,BTC-USD,2
1775324075.0461628,17,BTC-USD,4
1775324075.0462809,18,BTC-USD,11
1775324075.04652,19,BTC-USD,3
1775324075.0466619,20,BTC-USD,1
1775324075.047389,21,BTC-USD,2
1775324075.047499,22,BTC-USD,16
1775324075.047611,23,BTC-USD,6
1775324075.047712,24,BTC-USD,2
1775324075.047807,25,BTC-USD,7
1775324075.0479062,26,BTC-USD,7
1775324075.0480042,27,BTC-USD,4
1775324075.048106,28,BTC-USD,3
1775324075.0498729,29,BTC-USD,6
1775324075.0642262,30,BTC-USD,10
1775324075.109927,31,BTC-USD,3
1775324075.1608279,32,BTC-USD,4
1775324075.215056,33,BTC-USD,5
1775324075.264194,34,BTC-USD,2
1775324075.312452,35,BTC-USD,10
1775324075.364455,36,BTC-USD,7
1775324075.4127061,37,BTC-USD,10
1775324075.462132,38,BTC-USD,3
1775324075.513694,39,BTC-USD,3
1775324075.564639,40,BTC-USD,12
1775324075.614941,41,BTC-USD,4
1775324075.6637938,42,BTC-USD,1
1775324075.7158022,43,BTC-USD,6
1775324075.763826,44,BTC-USD,8
1775324075.862863,45,BTC-USD,3
1775324075.9125671,46,BTC-USD,8
1775324075.95856,47,BTC-USD,1
1775324076.011701,48,BTC-USD,10
1775324076.895353,49,BTC-USD,3
1775324076.895725,50,BTC-USD,1
1775324076.895912,51,BTC-USD,7
1775324076.8975759,52,BTC-USD,10
1775324076.897791,53,BTC-USD,5
1775324076.899044,54,BTC-USD,3
1775324076.899261,55,BTC-USD,9
1775324076.900956,56,BTC-USD,5
1775324076.901729,57,BTC-USD,3
1775324076.9029288,58,BTC-USD,3
1775324076.903423,59,BTC-USD,7
1775324076.904562,60,BTC-USD,7
1775324076.907358,61,BTC-USD,1
1775324076.9075809,62,BTC-USD,5
1775324076.9077592,63,BTC-USD,2
1775324076.960911,64,BTC-USD,1
1775324077.709861,65,BTC-USD,2
1775324077.7102132,66,BTC-USD,2
1775324077.710398,67,BTC-USD,1
1775324077.710567,68,BTC-USD,2
1775324077.710735,69,BTC-USD,5
1775324077.710911,70,BTC-USD,7
1775324077.711089,71,BTC-USD,1
1775324077.7112498,72,BTC-USD,5
1775324077.711422,73,BTC-USD,5
1775324077.7115982,74,BTC-USD,8
1775324077.711786,75,BTC-USD,7
1775324077.711966,76,BTC-USD,9
1775324077.712106,77,BTC-USD,2
1775324077.76027,78,BTC-USD,1
1775324078.630419,79,BTC-USD,8
1775324078.6307871,80,BTC-USD,2
1775324078.631019,81,BTC-USD,16
1775324078.631277,82,BTC-USD,35
1775324078.631545,83,BTC-USD,10
1775324078.631742,84,BTC-USD,9
1775324078.631949,85,BTC-USD,2
1775324078.6321359,86,BTC-USD,13
1775324078.632375,87,BTC-USD,8
1775324078.632562,88,BTC-USD,6
1775324078.6327739,89,BTC-USD,8
1775324078.633006,90,BTC-USD,6
1775324078.633182,91,BTC-USD,4
1775324078.6333508,92,BTC-USD,1
1775324078.633514,93,BTC-USD,5
1775324078.661312,94,BTC-USD,3
1775324078.71327,95,BTC-USD,8
1775324078.764384,96,BTC-USD,6
1775324078.815207,97,BTC-USD,4
1775324078.915572,98,BTC-USD,3
1775324078.964394,99,BTC-USD,6
1775324079.758414,100,BTC-USD,4
1775324079.758807,101,BTC-USD,1
1775324079.75909,102,BTC-USD,9
1775324079.75931,103,BTC-USD,5
1775324079.759548,104,BTC-USD,2
1775324079.7597282,105,BTC-USD,3
1775324079.759904,106,BTC-USD,1
1775324079.760114,107,BTC-USD,3
1775324079.76035,108,BTC-USD,1
1775324079.7604978,109,BTC-USD,3
1775324079.7606301,110,BTC-USD,3
1775324079.760764,111,BTC-USD,1
1775324079.760895,112,BTC-USD,3
1775324079.761027,113,BTC-USD,8
1775324080.475845,114,BTC-USD,2
1775324080.476222,115,BTC-USD,1
1775324080.476405,116,BTC-USD,11
1775324080.47673,117,BTC-USD,1
1775324080.4769568,118,BTC-USD,3
1775324080.4771578,119,BTC-USD,2
1775324080.477342,120,BTC-USD,3
1775324080.477545,121,BTC-USD,1
1775324080.477749,122,BTC-USD,7
1775324080.477945,123,BTC-USD,1
1775324080.478092,124,BTC-USD,2
1775324080.478225,125,BTC-USD,5
1775324080.4783611,126,BTC-USD,5
1775324080.478511,127,BTC-USD,18
1775324080.5146701,128,BTC-USD,7
1775324080.564641,129,BTC-USD,7
1775324080.614146,130,BTC-USD,6
1775324080.7129579,131,BTC-USD,3
1775324080.7598689,132,BTC-USD,9
1775324080.864005,133,BTC-USD,6
1775324080.915074,134,BTC-USD,10
1775324080.961086,135,BTC-USD,2
1775324081.0142028,136,BTC-USD,12
1775324081.061385,137,BTC-USD,6
1775324081.110715,138,BTC-USD,3
1775324081.165086,139,BTC-USD,14
1775324081.214593,140,BTC-USD,15
1775324081.2652428,141,BTC-USD,7
1775324081.3114629,142,BTC-USD,3
1775324081.365132,143,BTC-USD,4
1775324081.411307,144,BTC-USD,2
1775324081.464175,145,BTC-USD,3
1775324081.5127192,146,BTC-USD,2
1775324081.560491,147,BTC-USD,1
1775324081.614049,148,BTC-USD,8
1775324081.712929,149,BTC-USD,2
1775324081.759886,150,BTC-USD,1
1775324082.5217862,151,BTC-USD,4
1775324083.442962,152,BTC-USD,1
1775324083.4432158,153,BTC-USD,3
1775324083.443351,154,BTC-USD,1
1775324083.443488,155,BTC-USD,15
1775324083.443626,156,BTC-USD,1
1775324083.44375,157,BTC-USD,5
1775324083.443857,158,BTC-USD,7
1775324083.443962,159,BTC-USD,1
1775324083.444056,160,BTC-USD,1
1775324083.444166,161,BTC-USD,4
1775324083.444279,162,BTC-USD,7
1775324083.4444108,163,BTC-USD,2
1775324083.444512,164,BTC-USD,1
1775324083.444611,165,BTC-USD,9
1775324083.444716,166,BTC-USD,31
1775324083.444862,167,BTC-USD,9
1775324083.444993,168,BTC-USD,15
1775324083.445111,169,BTC-USD,16
1775324083.4452229,170,BTC-USD,14
1775324083.445357,171,BTC-USD,12
1775324083.44549,172,BTC-USD,6
1775324083.445599,173,BTC-USD,2
1775324083.445756,174,BTC-USD,1
1775324083.445878,175,BTC-USD,3
1775324083.445977,176,BTC-USD,7
1775324083.446076,177,BTC-USD,1
1775324083.446183,178,BTC-USD,2
1775324083.464618,179,BTC-USD,6
1775324083.513725,180,BTC-USD,5
1775324083.564728,181,BTC-USD,9
1775324083.6138911,182,BTC-USD,8
1775324083.664834,183,BTC-USD,8
